speech,answer
一屠晚归，担中肉尽，止有剩骨,一个屠夫晚上回家，担子里的肉卖完了，只剩下骨头
途中两狼，缀行甚远,路上遇到两只狼，跟着他走了很远
屠惧，投以骨,屠夫害怕了，把骨头扔给狼
一狼得骨止，一狼仍从,一只狼得到骨头停下来，另一只狼仍然跟着
屠大窘，恐前后受其敌,屠夫非常窘迫，担心前后都受到狼的攻击
顾野有麦场，场主积薪其中，苫蔽成丘,回头看见田野里有个麦场，场主在里面堆积柴草，覆盖成小山一样
屠乃奔倚其下，弛担持刀,屠夫于是跑过去靠在柴草堆下面，放下担子拿起刀
狼不敢前，眈眈相向,狼不敢上前，瞪着眼睛看着屠夫
少时，一狼径去，其一犬坐于前,过了一会儿，一只狼径直离开，另一只狼像狗一样蹲坐在前面
久之，目似瞑，意暇甚,时间长了，眼睛好像闭上了，神情很悠闲
屠暴起，以刀劈狼首，又数刀毙之,屠夫突然跳起，用刀劈狼的头，又砍了几刀杀死了它
方欲行，转视积薪后，一狼洞其中,正要走，转身看柴草堆后面，一只狼正在里面打洞
意将隧入以攻其后也,想要从通道进入来攻击他的后面
身已半入，止露尻尾,身体已经进去一半，只露出屁股和尾巴
屠自后断其股，亦毙之,屠夫从后面砍断它的大腿，也杀死了它
乃悟前狼假寐，盖以诱敌,才明白前面的狼假装睡觉，原来是用来引诱敌人的
狼亦黠矣，而顷刻两毙，禽兽之变诈几何哉,狼也很狡猾了，但一会儿两只都被杀死了，禽兽的欺骗手段能有多少呢
