answer,speech
festival,节日
across,横穿，穿过
culture,文化
luck,机遇，运气，命运
porridge,粥
lucky,幸运的
click,点击，单击
eve,前夜，前夕
tradition,传统
country,国家
wealth,财富，钱财
hope,希望
pass,给，递，传递
pass on,递给
midnight,午夜
international,国际的
event,重大事件
square,方形，平方米
symphony,交响曲
theater,剧场，剧院
firework,烟花
concert,音乐会，演奏会
prince,王子
check,查明，查看
check out,查明，查看
information,信息
since,自……以来
performance,表演
really,事实上，真正地
musical,音乐的
perform,表演
invite,邀请
celebrate,庆祝
calendar,日历
reunion,重逢
full,满的
post,发帖，邮寄
mostly,主要地，一般地
tonight,今晚
harvest,收获
traditional,传统的
nut,坚果
sugar,食糖
experience,经验，经历
meal,一顿饭
count,数数，计算
